epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.227,1.14335,0.98079,1.0617,0.65777,0.582,0.5926,0.43301,1.18853,0.73744,1.02415,0.00041403,0.00041403,0.00041403
2,281.268,1.12344,0.67359,1.01518,0.62653,0.61899,0.62005,0.45513,1.12784,0.69191,1.00111,0.000814248,0.000814248,0.000814248
3,405.071,1.06672,0.65902,1.00899,0.74451,0.56076,0.56072,0.4121,1.17136,0.75868,1.02279,0.00119797,0.00119797,0.00119797
4,530.742,1.0785,0.63098,0.99885,0.71148,0.64926,0.61637,0.46125,1.11772,0.74276,1.00215,0.00117575,0.00117575,0.00117575
5,656.221,1.06048,0.60368,0.98801,0.70843,0.64524,0.63555,0.47933,1.08141,0.63763,0.97328,0.001151,0.001151,0.001151
6,782.052,1.04412,0.59708,0.98378,0.71641,0.6497,0.63059,0.47925,1.0814,0.59624,0.9723,0.00112625,0.00112625,0.00112625
7,908.267,1.02292,0.58879,0.97656,0.69934,0.63982,0.63188,0.4745,1.0836,0.62174,0.9787,0.0011015,0.0011015,0.0011015
8,1033.72,1.0186,0.57811,0.97802,0.72958,0.66057,0.64858,0.49112,1.07375,0.58455,0.97311,0.00107675,0.00107675,0.00107675
9,1159.84,1.0048,0.5575,0.96641,0.70029,0.65587,0.63761,0.4862,1.07291,0.57343,0.97487,0.001052,0.001052,0.001052
10,1285.95,0.98184,0.5425,0.95899,0.71375,0.66196,0.63797,0.48861,1.03571,0.55843,0.963,0.00102725,0.00102725,0.00102725
11,1411.17,0.9997,0.55011,0.9659,0.73122,0.66866,0.65298,0.49549,1.04867,0.57074,0.96667,0.0010025,0.0010025,0.0010025
12,1535.99,0.99927,0.54654,0.96345,0.71714,0.67136,0.6383,0.49302,1.04501,0.56451,0.96444,0.00097775,0.00097775,0.00097775
13,1661.29,0.96236,0.5288,0.95153,0.71713,0.65235,0.6461,0.49737,1.0275,0.5533,0.96092,0.000953,0.000953,0.000953
14,1787.94,0.96422,0.51855,0.95096,0.74554,0.67173,0.66372,0.50791,1.02764,0.54437,0.95898,0.00092825,0.00092825,0.00092825
15,1915.63,0.96751,0.52644,0.95283,0.73259,0.66534,0.64799,0.50279,1.01798,0.55662,0.95534,0.0009035,0.0009035,0.0009035
16,2041.04,0.98191,0.53085,0.95515,0.73384,0.66991,0.67487,0.518,1.02646,0.53798,0.9581,0.00087875,0.00087875,0.00087875
17,2171.9,0.93447,0.50784,0.94765,0.72721,0.67859,0.66335,0.5151,0.99999,0.53158,0.94931,0.000854,0.000854,0.000854
18,2296.83,0.93214,0.50023,0.94322,0.73811,0.65841,0.65665,0.50771,1.05427,0.53207,0.96347,0.00082925,0.00082925,0.00082925
19,2421.75,0.93728,0.4988,0.94236,0.74892,0.67499,0.68026,0.5225,1.01789,0.51741,0.9538,0.0008045,0.0008045,0.0008045
20,2552.05,0.93335,0.49717,0.94113,0.74808,0.66537,0.66993,0.5209,1.01926,0.51964,0.9542,0.00077975,0.00077975,0.00077975
21,2702.12,0.93505,0.50057,0.94475,0.73191,0.67774,0.66668,0.51841,1.0023,0.51871,0.95072,0.000755,0.000755,0.000755
